epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1570470489642,2019-10-07T13.48.09.642,0.000,14.466,17.790,1.479
1570470489662,2019-10-07T13.48.09.662,0.020,14.055,19.146,1.677
1570470489682,2019-10-07T13.48.09.682,0.040,12.363,26.509,1.143
1570470489702,2019-10-07T13.48.09.702,0.060,9.329,32.424,-0.198
1570470489722,2019-10-07T13.48.09.722,0.080,5.777,35.579,-1.418
1570470489742,2019-10-07T13.48.09.742,0.100,2.088,32.896,-2.546
1570470489762,2019-10-07T13.48.09.762,0.120,-0.473,26.357,-3.155
1570470489782,2019-10-07T13.48.09.782,0.140,0.213,16.357,-3.902
1570470489802,2019-10-07T13.48.09.802,0.160,2.271,3.598,-4.131
1570470489822,2019-10-07T13.48.09.822,0.180,3.140,-3.216,-3.216
1570470489842,2019-10-07T13.48.09.842,0.200,3.887,-0.518,-1.784
1570470489862,2019-10-07T13.48.09.862,0.220,4.085,2.073,-0.991
1570470489882,2019-10-07T13.48.09.882,0.240,3.872,-1.250,-0.915
1570470489902,2019-10-07T13.48.09.902,0.260,3.720,-2.805,-0.869
1570470489922,2019-10-07T13.48.09.922,0.280,3.582,0.152,-0.610
1570470489942,2019-10-07T13.48.09.942,0.300,3.780,2.317,-0.366
1570470489962,2019-10-07T13.48.09.962,0.320,4.131,2.851,-0.320
1570470489982,2019-10-07T13.48.09.982,0.340,4.284,3.445,-0.076
1570470490002,2019-10-07T13.48.10.002,0.360,4.101,5.701,0.183
1570470490022,2019-10-07T13.48.10.022,0.380,3.948,4.985,0.351
1570470490042,2019-10-07T13.48.10.042,0.400,3.780,1.037,0.290
1570470490062,2019-10-07T13.48.10.062,0.420,3.293,1.006,0.930
1570470490082,2019-10-07T13.48.10.082,0.440,2.546,4.101,1.707
1570470490102,2019-10-07T13.48.10.102,0.460,2.576,5.030,1.524
1570470490122,2019-10-07T13.48.10.122,0.480,3.079,2.530,1.357
1570470490142,2019-10-07T13.48.10.142,0.500,4.223,2.896,1.220
1570470490162,2019-10-07T13.48.10.162,0.520,6.037,5.213,0.777
1570470490182,2019-10-07T13.48.10.182,0.540,7.851,1.646,-0.412
1570470490202,2019-10-07T13.48.10.202,0.560,9.375,-5.838,-2.073
1570470490222,2019-10-07T13.48.10.222,0.580,10.183,-11.372,-3.262
1570470490242,2019-10-07T13.48.10.242,0.600,9.604,-12.470,-3.643
1570470490262,2019-10-07T13.48.10.262,0.620,7.805,-9.924,-3.765
1570470490282,2019-10-07T13.48.10.282,0.640,5.595,-5.777,-3.476
1570470490302,2019-10-07T13.48.10.302,0.660,4.558,1.082,-2.012
1570470490322,2019-10-07T13.48.10.322,0.680,4.497,7.134,-0.732
1570470490342,2019-10-07T13.48.10.342,0.700,4.253,7.210,-0.366
1570470490362,2019-10-07T13.48.10.362,0.720,4.070,7.576,-0.351
1570470490382,2019-10-07T13.48.10.382,0.740,5.412,8.079,0.015
1570470490402,2019-10-07T13.48.10.402,0.760,6.768,4.909,0.229
1570470490422,2019-10-07T13.48.10.422,0.780,6.936,0.655,0.107
1570470490442,2019-10-07T13.48.10.442,0.800,6.875,-0.183,0.137
1570470490462,2019-10-07T13.48.10.462,0.820,7.180,-0.061,0.610
1570470490482,2019-10-07T13.48.10.482,0.840,6.692,1.524,1.250
1570470490502,2019-10-07T13.48.10.502,0.860,5.610,2.835,1.463
1570470490522,2019-10-07T13.48.10.522,0.880,5.122,1.814,1.082
1570470490542,2019-10-07T13.48.10.542,0.900,5.503,-1.982,0.686
1570470490562,2019-10-07T13.48.10.562,0.920,5.976,-4.223,0.793
1570470490582,2019-10-07T13.48.10.582,0.940,5.945,-3.506,0.854
1570470490602,2019-10-07T13.48.10.602,0.960,5.015,-3.155,0.701
1570470490622,2019-10-07T13.48.10.622,0.980,3.582,-4.832,0.396
1570470490642,2019-10-07T13.48.10.642,1.000,1.448,-3.643,0.320
1570470490662,2019-10-07T13.48.10.662,1.020,0.030,-0.335,0.000
1570470490682,2019-10-07T13.48.10.682,1.040,-0.320,-0.290,0.061
1570470490702,2019-10-07T13.48.10.702,1.060,-0.610,-0.671,0.274
1570470490722,2019-10-07T13.48.10.722,1.080,-1.113,-0.412,0.412
1570470490742,2019-10-07T13.48.10.742,1.100,-1.921,-1.387,0.152
1570470490762,2019-10-07T13.48.10.762,1.120,-2.729,-2.180,-0.061
1570470490782,2019-10-07T13.48.10.782,1.140,-2.973,-0.335,-0.076
1570470490802,2019-10-07T13.48.10.802,1.160,-3.232,0.716,-0.457
1570470490822,2019-10-07T13.48.10.822,1.180,-3.841,-2.591,-1.128
1570470490842,2019-10-07T13.48.10.842,1.200,-4.314,-5.991,-1.296
1570470490862,2019-10-07T13.48.10.862,1.220,-4.604,-5.534,-1.311
1570470490882,2019-10-07T13.48.10.882,1.240,-4.848,-4.223,-1.174
1570470490902,2019-10-07T13.48.10.902,1.260,-5.442,-2.500,-0.442
1570470490922,2019-10-07T13.48.10.922,1.280,-5.793,2.652,0.732
1570470490942,2019-10-07T13.48.10.942,1.300,-4.710,6.921,1.524
1570470490962,2019-10-07T13.48.10.962,1.320,-2.622,7.561,2.012
1570470490982,2019-10-07T13.48.10.982,1.340,-0.503,5.564,2.119
1570470491002,2019-10-07T13.48.11.002,1.360,1.250,4.070,1.966
1570470491022,2019-10-07T13.48.11.022,1.380,3.095,3.689,1.692
1570470491042,2019-10-07T13.48.11.042,1.400,5.030,1.784,1.052
1570470491062,2019-10-07T13.48.11.062,1.420,6.372,-1.357,0.259
1570470491082,2019-10-07T13.48.11.082,1.440,6.723,-2.622,-0.366
1570470491102,2019-10-07T13.48.11.102,1.460,6.570,-1.997,-0.686
1570470491122,2019-10-07T13.48.11.122,1.480,5.930,-1.555,-0.579
1570470491142,2019-10-07T13.48.11.142,1.500,4.543,-1.814,-0.503
1570470491162,2019-10-07T13.48.11.162,1.520,2.988,-2.652,-0.503
1570470491182,2019-10-07T13.48.11.182,1.540,1.707,-4.253,-0.518
1570470491202,2019-10-07T13.48.11.202,1.560,0.595,-4.985,-0.259
1570470491222,2019-10-07T13.48.11.222,1.580,-0.198,-4.314,0.183
1570470491242,2019-10-07T13.48.11.242,1.600,-0.610,-4.405,0.473
1570470491262,2019-10-07T13.48.11.262,1.620,-0.716,-3.979,0.793
1570470491282,2019-10-07T13.48.11.282,1.640,-1.189,-2.027,1.143
1570470491302,2019-10-07T13.48.11.302,1.660,-1.616,-0.335,1.235
1570470491322,2019-10-07T13.48.11.322,1.680,-1.692,-0.290,0.915
1570470491342,2019-10-07T13.48.11.342,1.700,-1.479,-0.915,0.640
1570470491362,2019-10-07T13.48.11.362,1.720,-1.235,-0.686,0.457
1570470491382,2019-10-07T13.48.11.382,1.740,-1.357,-0.229,0.290
1570470491402,2019-10-07T13.48.11.402,1.760,-1.509,0.213,0.076
1570470491422,2019-10-07T13.48.11.422,1.780,-1.311,0.854,-0.107
1570470491442,2019-10-07T13.48.11.442,1.800,-0.960,1.159,-0.290
1570470491462,2019-10-07T13.48.11.462,1.820,-0.579,1.082,-0.442
1570470491482,2019-10-07T13.48.11.482,1.840,-0.152,1.006,-0.610
1570470491502,2019-10-07T13.48.11.502,1.860,0.183,0.960,-0.793
1570470491522,2019-10-07T13.48.11.522,1.880,0.381,0.808,-1.006
1570470491542,2019-10-07T13.48.11.542,1.900,0.595,0.320,-1.280
1570470491562,2019-10-07T13.48.11.562,1.920,0.777,-0.381,-1.387
1570470491582,2019-10-07T13.48.11.582,1.940,1.067,-0.854,-1.616
1570470491602,2019-10-07T13.48.11.602,1.960,1.357,-0.427,-1.631
1570470491622,2019-10-07T13.48.11.622,1.980,1.555,0.473,-1.570
1570470491642,2019-10-07T13.48.11.642,2.000,1.540,0.625,-1.479
1570470491662,2019-10-07T13.48.11.662,2.020,1.311,0.396,-1.555
1570470491682,2019-10-07T13.48.11.682,2.040,1.235,0.335,-1.448
1570470491702,2019-10-07T13.48.11.702,2.060,1.159,0.808,-1.159
1570470491722,2019-10-07T13.48.11.722,2.080,0.869,1.418,-1.021
1570470491742,2019-10-07T13.48.11.742,2.100,0.137,2.287,-0.838
1570470491762,2019-10-07T13.48.11.762,2.120,-0.869,2.729,-0.747
1570470491782,2019-10-07T13.48.11.782,2.140,-1.875,1.509,-0.945
1570470491802,2019-10-07T13.48.11.802,2.160,-2.866,-1.524,-1.037
1570470491822,2019-10-07T13.48.11.822,2.180,-3.598,-3.582,-0.976
1570470491842,2019-10-07T13.48.11.842,2.200,-3.933,-7.088,-1.311
1570470491862,2019-10-07T13.48.11.862,2.220,-4.314,-12.866,-1.753
1570470491882,2019-10-07T13.48.11.882,2.240,-5.777,-14.040,-1.753
1570470491902,2019-10-07T13.48.11.902,2.260,-6.845,-11.631,-1.875
1570470491922,2019-10-07T13.48.11.922,2.280,-7.180,-13.262,-2.576
1570470491942,2019-10-07T13.48.11.942,2.300,-7.683,-15.518,-3.659
1570470491962,2019-10-07T13.48.11.962,2.320,-7.530,-14.924,-4.299
1570470491982,2019-10-07T13.48.11.982,2.340,-7.744,-12.210,-4.360
1570470492002,2019-10-07T13.48.12.002,2.360,-6.494,-8.064,-4.085
1570470492022,2019-10-07T13.48.12.022,2.380,-4.512,-7.561,-3.765
1570470492042,2019-10-07T13.48.12.042,2.400,-5.000,-7.668,-3.293
1570470492062,2019-10-07T13.48.12.062,2.420,-5.945,-5.777,-3.262
1570470492082,2019-10-07T13.48.12.082,2.440,-12.866,-4.024,-4.345
1570470492102,2019-10-07T13.48.12.102,2.460,-37.820,-7.607,-6.936
1570470492122,2019-10-07T13.48.12.122,2.480,-41.890,-10.412,-8.521
