epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1570470788147,2019-10-07T13.53.08.147,0.000,-0.061,-0.152,0.488
1570470788167,2019-10-07T13.53.08.167,0.020,-0.091,0.168,0.137
1570470788187,2019-10-07T13.53.08.187,0.040,-0.152,-0.244,0.564
1570470788207,2019-10-07T13.53.08.207,0.060,-0.061,0.320,0.488
1570470788227,2019-10-07T13.53.08.227,0.080,0.015,1.250,0.320
1570470788247,2019-10-07T13.53.08.247,0.100,-0.122,1.570,0.183
1570470788267,2019-10-07T13.53.08.267,0.120,-0.351,1.052,0.015
1570470788287,2019-10-07T13.53.08.287,0.140,-0.351,1.738,0.030
1570470788307,2019-10-07T13.53.08.307,0.160,-0.488,2.912,-0.061
1570470788327,2019-10-07T13.53.08.327,0.180,-0.823,2.424,-0.152
1570470788347,2019-10-07T13.53.08.347,0.200,-0.747,2.698,-0.412
1570470788367,2019-10-07T13.53.08.367,0.220,-0.610,3.415,-0.610
1570470788387,2019-10-07T13.53.08.387,0.240,-0.320,3.841,-0.747
1570470788407,2019-10-07T13.53.08.407,0.260,0.091,4.360,-0.976
1570470788427,2019-10-07T13.53.08.427,0.280,0.244,4.390,-1.402
1570470788447,2019-10-07T13.53.08.447,0.300,0.518,3.780,-1.753
1570470788467,2019-10-07T13.53.08.467,0.320,0.671,2.698,-1.936
1570470788487,2019-10-07T13.53.08.487,0.340,0.762,2.287,-2.165
1570470788507,2019-10-07T13.53.08.507,0.360,1.052,2.912,-2.073
1570470788527,2019-10-07T13.53.08.527,0.380,0.884,2.180,-1.845
1570470788547,2019-10-07T13.53.08.547,0.400,0.442,1.098,-2.012
1570470788567,2019-10-07T13.53.08.567,0.420,0.549,0.091,-2.058
1570470788587,2019-10-07T13.53.08.587,0.440,0.579,-0.595,-1.997
1570470788607,2019-10-07T13.53.08.607,0.460,0.534,-0.168,-1.890
1570470788627,2019-10-07T13.53.08.627,0.480,0.671,1.235,-1.768
1570470788647,2019-10-07T13.53.08.647,0.500,0.991,0.091,-1.646
1570470788667,2019-10-07T13.53.08.667,0.520,1.006,-1.448,-1.509
1570470788687,2019-10-07T13.53.08.687,0.540,0.869,0.122,-1.509
1570470788707,2019-10-07T13.53.08.707,0.560,0.412,1.631,-1.357
1570470788727,2019-10-07T13.53.08.727,0.580,-0.381,2.012,-1.570
1570470788747,2019-10-07T13.53.08.747,0.600,-0.579,0.899,-2.058
1570470788767,2019-10-07T13.53.08.767,0.620,-0.396,-0.015,-2.409
1570470788787,2019-10-07T13.53.08.787,0.640,-0.427,-1.220,-2.485
1570470788807,2019-10-07T13.53.08.807,0.660,-0.442,-1.875,-2.591
1570470788827,2019-10-07T13.53.08.827,0.680,-0.640,-0.854,-2.500
1570470788847,2019-10-07T13.53.08.847,0.700,-0.930,0.000,-2.424
1570470788867,2019-10-07T13.53.08.867,0.720,-0.823,-0.091,-2.500
1570470788887,2019-10-07T13.53.08.887,0.740,-0.640,0.655,-2.210
1570470788907,2019-10-07T13.53.08.907,0.760,-0.838,1.479,-1.707
1570470788927,2019-10-07T13.53.08.927,0.780,-0.884,2.073,-1.250
1570470788947,2019-10-07T13.53.08.947,0.800,-1.006,2.226,-0.579
1570470788967,2019-10-07T13.53.08.967,0.820,-1.753,1.845,-0.183
1570470788987,2019-10-07T13.53.08.987,0.840,-2.058,-1.174,-0.305
1570470789007,2019-10-07T13.53.09.007,0.860,-1.280,-1.601,0.412
1570470789027,2019-10-07T13.53.09.027,0.880,-1.220,3.445,1.692
1570470789047,2019-10-07T13.53.09.047,0.900,-1.692,5.640,2.348
1570470789067,2019-10-07T13.53.09.067,0.920,-1.845,3.293,2.287
1570470789087,2019-10-07T13.53.09.087,0.940,-1.753,0.579,2.393
1570470789107,2019-10-07T13.53.09.107,0.960,-1.570,-0.640,2.485
1570470789127,2019-10-07T13.53.09.127,0.980,-1.204,-0.595,2.378
1570470789147,2019-10-07T13.53.09.147,1.000,-0.564,-2.027,2.317
1570470789167,2019-10-07T13.53.09.167,1.020,0.030,-3.369,2.424
1570470789187,2019-10-07T13.53.09.187,1.040,0.335,-2.180,2.774
1570470789207,2019-10-07T13.53.09.207,1.060,0.655,-1.296,3.201
1570470789227,2019-10-07T13.53.09.227,1.080,0.838,-0.762,3.095
1570470789247,2019-10-07T13.53.09.247,1.100,1.113,-0.686,3.018
1570470789267,2019-10-07T13.53.09.267,1.120,1.433,-1.357,3.110
1570470789287,2019-10-07T13.53.09.287,1.140,1.631,-2.027,3.171
1570470789307,2019-10-07T13.53.09.307,1.160,1.890,-2.256,2.927
