epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1570470552290,2019-10-07T13.49.12.290,0.000,0.534,-0.244,-0.122
1570470552310,2019-10-07T13.49.12.310,0.020,0.625,-0.595,-0.335
1570470552330,2019-10-07T13.49.12.330,0.040,0.335,-0.168,-0.396
1570470552350,2019-10-07T13.49.12.350,0.060,0.168,0.091,-0.259
1570470552370,2019-10-07T13.49.12.370,0.080,0.107,0.305,-0.213
1570470552390,2019-10-07T13.49.12.390,0.100,-0.122,-0.198,-0.335
1570470552410,2019-10-07T13.49.12.410,0.120,-0.229,-0.823,-0.381
1570470552430,2019-10-07T13.49.12.430,0.140,-0.244,0.046,-0.198
1570470552450,2019-10-07T13.49.12.450,0.160,-0.137,0.960,-0.091
1570470552470,2019-10-07T13.49.12.470,0.180,0.107,0.625,-0.259
1570470552490,2019-10-07T13.49.12.490,0.200,0.168,-0.198,-0.305
1570470552510,2019-10-07T13.49.12.510,0.220,0.244,-0.046,-0.259
1570470552530,2019-10-07T13.49.12.530,0.240,0.351,0.457,-0.244
1570470552550,2019-10-07T13.49.12.550,0.260,0.488,-0.015,-0.366
1570470552570,2019-10-07T13.49.12.570,0.280,0.564,-1.113,-0.412
1570470552590,2019-10-07T13.49.12.590,0.300,0.488,-0.747,-0.320
1570470552610,2019-10-07T13.49.12.610,0.320,0.320,0.366,-0.168
1570470552630,2019-10-07T13.49.12.630,0.340,0.183,0.747,-0.198
1570470552650,2019-10-07T13.49.12.650,0.360,0.320,0.274,-0.244
1570470552670,2019-10-07T13.49.12.670,0.380,0.457,0.168,-0.244
1570470552690,2019-10-07T13.49.12.690,0.400,0.473,0.290,-0.168
1570470552710,2019-10-07T13.49.12.710,0.420,0.518,0.198,-0.183
1570470552730,2019-10-07T13.49.12.730,0.440,0.503,0.213,-0.244
1570470552750,2019-10-07T13.49.12.750,0.460,0.305,-0.320,-0.366
1570470552770,2019-10-07T13.49.12.770,0.480,0.534,-0.213,-0.381
1570470552790,2019-10-07T13.49.12.790,0.500,0.671,0.274,-0.274
1570470552810,2019-10-07T13.49.12.810,0.520,0.747,0.244,-0.305
1570470552830,2019-10-07T13.49.12.830,0.540,0.686,-0.152,-0.335
1570470552850,2019-10-07T13.49.12.850,0.560,0.640,-0.549,-0.427
1570470552870,2019-10-07T13.49.12.870,0.580,0.427,-0.244,-0.457
1570470552890,2019-10-07T13.49.12.890,0.600,0.381,-0.152,-0.381
1570470552910,2019-10-07T13.49.12.910,0.620,0.274,-0.381,-0.335
1570470552930,2019-10-07T13.49.12.930,0.640,0.229,-0.579,-0.396
