epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1570468976418,2019-10-07T13.22.56.418,0.000,0.473,-0.549,-0.396
1570468976439,2019-10-07T13.22.56.439,0.021,0.625,-0.823,0.046
1570468976459,2019-10-07T13.22.56.459,0.041,0.107,-0.412,-0.091
1570468976480,2019-10-07T13.22.56.480,0.062,-0.076,-0.503,-0.061
1570468976499,2019-10-07T13.22.56.499,0.081,-0.259,-0.655,-0.091
1570468976519,2019-10-07T13.22.56.519,0.101,-0.412,-0.320,-0.046
1570468976540,2019-10-07T13.22.56.540,0.122,-0.335,0.000,0.015
1570468976560,2019-10-07T13.22.56.560,0.142,-0.259,-0.046,0.061
1570468976579,2019-10-07T13.22.56.579,0.161,-0.061,-0.610,0.015
1570468976600,2019-10-07T13.22.56.600,0.182,0.076,-1.128,0.061
1570468976620,2019-10-07T13.22.56.620,0.202,0.076,-0.838,0.076
1570468976641,2019-10-07T13.22.56.641,0.223,0.046,-0.320,0.122
1570468976660,2019-10-07T13.22.56.660,0.242,0.046,-0.473,0.091
1570468976681,2019-10-07T13.22.56.681,0.263,-0.122,-0.808,0.046
1570468976701,2019-10-07T13.22.56.701,0.283,-0.183,-0.701,0.137
1570468976722,2019-10-07T13.22.56.722,0.304,-0.061,-0.366,0.198
1570468976742,2019-10-07T13.22.56.742,0.324,0.152,-0.305,0.259
1570468976761,2019-10-07T13.22.56.761,0.343,0.244,-0.549,0.183
1570468976782,2019-10-07T13.22.56.782,0.364,0.335,-0.823,0.107
1570468976802,2019-10-07T13.22.56.802,0.384,0.152,-0.671,0.091
1570468976823,2019-10-07T13.22.56.823,0.405,-0.015,-0.412,0.137
1570468976842,2019-10-07T13.22.56.842,0.424,-0.091,-0.320,0.183
1570468976862,2019-10-07T13.22.56.862,0.444,-0.030,-0.244,0.213
1570468976883,2019-10-07T13.22.56.883,0.465,0.015,-0.671,0.137
1570468976903,2019-10-07T13.22.56.903,0.485,0.046,-0.930,0.076
1570468976922,2019-10-07T13.22.56.922,0.504,0.274,-0.595,0.168
1570468976943,2019-10-07T13.22.56.943,0.525,0.320,-0.030,0.274
1570468976963,2019-10-07T13.22.56.963,0.545,0.168,0.564,0.274
1570468976984,2019-10-07T13.22.56.984,0.566,0.320,0.168,0.168
1570468977004,2019-10-07T13.22.57.004,0.586,0.229,-0.473,0.061
1570468977023,2019-10-07T13.22.57.023,0.605,0.244,-0.595,0.076
1570468977044,2019-10-07T13.22.57.044,0.626,0.320,-0.473,0.137
1570468977064,2019-10-07T13.22.57.064,0.646,0.198,-0.305,0.152
1570468977085,2019-10-07T13.22.57.085,0.667,0.107,-0.076,0.168
1570468977104,2019-10-07T13.22.57.104,0.686,0.000,0.442,0.229
1570468977124,2019-10-07T13.22.57.124,0.706,0.015,0.396,0.213
1570468977145,2019-10-07T13.22.57.145,0.727,0.107,-0.320,0.091
1570468977165,2019-10-07T13.22.57.165,0.747,-0.076,-0.884,-0.061
1570468977184,2019-10-07T13.22.57.184,0.766,-0.168,-0.488,-0.015
1570468977205,2019-10-07T13.22.57.205,0.787,-0.274,0.122,0.076
1570468977225,2019-10-07T13.22.57.225,0.807,-0.427,0.244,0.061
1570468977246,2019-10-07T13.22.57.246,0.828,-0.457,0.198,0.015
1570468977266,2019-10-07T13.22.57.266,0.848,-0.335,0.320,0.030
1570468977286,2019-10-07T13.22.57.286,0.868,-0.061,-0.030,0.076
1570468977306,2019-10-07T13.22.57.306,0.888,0.091,-0.503,0.000
1570468977327,2019-10-07T13.22.57.327,0.909,0.213,-0.610,-0.107
1570468977347,2019-10-07T13.22.57.347,0.929,0.122,-0.412,-0.107
1570468977366,2019-10-07T13.22.57.366,0.948,0.000,0.061,-0.030
1570468977387,2019-10-07T13.22.57.387,0.969,0.046,-0.015,-0.046
1570468977407,2019-10-07T13.22.57.407,0.989,0.061,-0.381,-0.183
1570468977428,2019-10-07T13.22.57.428,1.010,0.107,-0.564,-0.198
1570468977447,2019-10-07T13.22.57.447,1.029,0.061,-0.564,-0.152
1570468977467,2019-10-07T13.22.57.467,1.049,0.076,-0.076,-0.168
1570468977488,2019-10-07T13.22.57.488,1.070,0.305,-0.107,-0.213
1570468977508,2019-10-07T13.22.57.508,1.090,0.488,-0.381,-0.168
1570468977529,2019-10-07T13.22.57.529,1.111,0.625,0.091,-0.137
1570468977548,2019-10-07T13.22.57.548,1.130,0.671,0.183,-0.152
1570468977568,2019-10-07T13.22.57.568,1.150,0.381,-0.473,-0.305
1570468977589,2019-10-07T13.22.57.589,1.171,0.229,-0.442,-0.351
1570468977609,2019-10-07T13.22.57.609,1.191,0.091,-0.015,-0.305
1570468977628,2019-10-07T13.22.57.628,1.210,0.076,-0.259,-0.305
1570468977649,2019-10-07T13.22.57.649,1.231,-0.030,-0.655,-0.412
1570468977669,2019-10-07T13.22.57.669,1.251,-0.198,-0.915,-0.457
1570468977690,2019-10-07T13.22.57.690,1.272,-0.457,-1.067,-0.396
1570468977709,2019-10-07T13.22.57.709,1.291,-0.625,-0.655,-0.290
1570468977729,2019-10-07T13.22.57.729,1.311,-0.488,0.152,-0.198
1570468977750,2019-10-07T13.22.57.750,1.332,-0.473,0.168,-0.351
1570468977770,2019-10-07T13.22.57.770,1.352,-0.152,-0.091,-0.259
1570468977791,2019-10-07T13.22.57.791,1.373,0.015,0.198,-0.259
1570468977810,2019-10-07T13.22.57.810,1.392,0.351,0.183,-0.335
1570468977830,2019-10-07T13.22.57.830,1.412,0.625,-0.808,-0.381
