epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.57047E+12,2019-10-07T13.22.23.943,15.631,1.296,-0.869,1.738
1.57047E+12,2019-10-07T13.22.23.964,15.652,1.311,-0.473,1.86
1.57047E+12,2019-10-07T13.22.23.983,15.671,1.448,0.015,2.058
1.57047E+12,2019-10-07T13.22.24.003,15.691,1.25,0.991,2.195
1.57047E+12,2019-10-07T13.22.24.024,15.712,1.113,0.381,2.287
1.57047E+12,2019-10-07T13.22.24.044,15.732,1.067,-0.976,2.409
1.57047E+12,2019-10-07T13.22.24.063,15.751,0.854,-0.564,2.683
1.57047E+12,2019-10-07T13.22.24.084,15.772,0.869,0.701,3.003
1.57047E+12,2019-10-07T13.22.24.104,15.792,0.396,1.555,3.308
1.57047E+12,2019-10-07T13.22.24.125,15.813,-0.03,1.601,3.491
1.57047E+12,2019-10-07T13.22.24.145,15.833,0.03,0.259,3.445
1.57047E+12,2019-10-07T13.22.24.164,15.852,-0.335,-1.204,3.582
1.57047E+12,2019-10-07T13.22.24.185,15.873,-0.884,-0.762,3.78
1.57047E+12,2019-10-07T13.22.24.205,15.893,-1.601,-1.189,3.887
1.57047E+12,2019-10-07T13.22.24.226,15.914,-2.759,-2.424,3.963
1.57047E+12,2019-10-07T13.22.24.245,15.933,-4.009,-2.348,4.207
1.57047E+12,2019-10-07T13.22.24.265,15.953,-5.061,-0.808,4.527
1.57047E+12,2019-10-07T13.22.24.286,15.974,-6.082,-0.899,4.71
1.57047E+12,2019-10-07T13.22.24.306,15.994,-8.171,-2.988,4.771
1.57047E+12,2019-10-07T13.22.24.325,16.013,-11.143,-4.177,4.817
1.57047E+12,2019-10-07T13.22.24.346,16.034,-14.116,-3.598,5.198
1.57047E+12,2019-10-07T13.22.24.366,16.054,-16.936,-1.372,5.64
1.57047E+12,2019-10-07T13.22.24.387,16.075,-19.68,0.32,5.823
1.57047E+12,2019-10-07T13.22.24.407,16.095,-22.713,-1.006,5.595
1.57047E+12,2019-10-07T13.22.24.426,16.114,-26.875,-4.223,7.79
1.57047E+12,2019-10-07T13.22.24.447,16.135,-31.54,-6.905,9.253
1.57047E+12,2019-10-07T13.22.24.467,16.155,-38.43,-8.14,7.652
1.57047E+12,2019-10-07T13.22.24.488,16.176,-45.869,-10.442,5.854
1.57047E+12,2019-10-07T13.22.24.507,16.195,-49.68,-12.729,2.652
1.57047E+12,2019-10-07T13.22.24.527,16.215,-50.93,-17.744,-1.402
1.57047E+12,2019-10-07T13.22.24.548,16.236,-49.588,-22.774,-5.152
1.57047E+12,2019-10-07T13.22.24.569,16.257,-43.186,-28.14,-9.36
1.57047E+12,2019-10-07T13.22.24.588,16.276,-28.354,-32.79,-11.951
1.57047E+12,2019-10-07T13.22.24.608,16.296,-10.686,-30.777,-12.424
1.57047E+12,2019-10-07T13.22.24.629,16.317,5.808,-14.223,-11.86
1.57047E+12,2019-10-07T13.22.24.649,16.337,21.784,1.357,-10.259
1.57047E+12,2019-10-07T13.22.24.670,16.358,34.97,6.037,-10.015
1.57047E+12,2019-10-07T13.22.24.689,16.377,46.296,3.384,-10.808
1.57047E+12,2019-10-07T13.22.24.709,16.397,56.677,2.759,-11.098
1.57047E+12,2019-10-07T13.22.24.730,16.418,66.098,5.976,-11.28
1.57047E+12,2019-10-07T13.22.24.750,16.438,74.756,9.924,-11.174
1.57047E+12,2019-10-07T13.22.24.769,16.457,81.86,8.43,-10.107
1.57047E+12,2019-10-07T13.22.24.790,16.478,85.015,4.36,-8.476
1.57047E+12,2019-10-07T13.22.24.810,16.498,84.116,3.11,-6.235
1.57047E+12,2019-10-07T13.22.24.831,16.519,80.518,5.777,-3.841
1.57047E+12,2019-10-07T13.22.24.850,16.538,75.152,7.576,-3.308
1.57047E+12,2019-10-07T13.22.24.870,16.558,69.131,3.171,-2.851
