epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1570465318284,2019-10-07T12.21.58.284,0.000,0.015,0.183,0.168
1570465318304,2019-10-07T12.21.58.304,0.020,-0.259,1.143,-1.143
1570465318323,2019-10-07T12.21.58.323,0.039,0.030,0.899,-0.290
1570465318344,2019-10-07T12.21.58.344,0.060,0.061,0.427,-0.183
1570465318364,2019-10-07T12.21.58.364,0.080,0.229,0.305,-0.259
1570465318385,2019-10-07T12.21.58.385,0.101,0.335,0.168,-0.335
1570465318404,2019-10-07T12.21.58.404,0.120,0.534,-0.137,-0.229
1570465318424,2019-10-07T12.21.58.424,0.140,0.610,0.381,-0.229
1570465318445,2019-10-07T12.21.58.445,0.161,0.640,0.305,-0.290
1570465318465,2019-10-07T12.21.58.465,0.181,0.640,-0.198,-0.290
1570465318484,2019-10-07T12.21.58.484,0.200,0.595,-0.305,-0.244
1570465318505,2019-10-07T12.21.58.505,0.221,0.564,-0.107,-0.229
1570465318525,2019-10-07T12.21.58.525,0.241,0.488,0.259,-0.198
1570465318546,2019-10-07T12.21.58.546,0.262,0.412,0.259,-0.183
1570465318566,2019-10-07T12.21.58.566,0.282,0.396,0.915,-0.030
1570465318585,2019-10-07T12.21.58.585,0.301,0.335,1.250,-0.015
1570465318606,2019-10-07T12.21.58.606,0.322,0.168,0.671,-0.091
1570465318626,2019-10-07T12.21.58.626,0.342,0.122,0.335,-0.213
1570465318647,2019-10-07T12.21.58.647,0.363,0.061,-0.290,-0.335
1570465318666,2019-10-07T12.21.58.666,0.382,0.198,-1.021,-0.488
1570465318687,2019-10-07T12.21.58.687,0.403,0.457,-1.204,-0.518
1570465318707,2019-10-07T12.21.58.707,0.423,0.701,-1.296,-0.518
1570465318728,2019-10-07T12.21.58.728,0.444,0.747,-1.021,-0.534
1570465318747,2019-10-07T12.21.58.747,0.463,0.793,-1.128,-0.534
1570465318767,2019-10-07T12.21.58.767,0.483,0.732,-1.524,-0.518
1570465318788,2019-10-07T12.21.58.788,0.504,0.655,-1.433,-0.503
1570465318808,2019-10-07T12.21.58.808,0.524,0.457,-1.006,-0.473
1570465318829,2019-10-07T12.21.58.829,0.545,0.335,-0.671,-0.396
1570465318848,2019-10-07T12.21.58.848,0.564,0.305,-0.351,-0.351
1570465318868,2019-10-07T12.21.58.868,0.584,0.320,-0.290,-0.335
1570465318889,2019-10-07T12.21.58.889,0.605,0.351,-0.290,-0.290
1570465318909,2019-10-07T12.21.58.909,0.625,0.503,-0.107,-0.259
1570465318928,2019-10-07T12.21.58.928,0.644,0.625,-0.655,-0.320
1570465318949,2019-10-07T12.21.58.949,0.665,0.564,-0.838,-0.274
1570465318969,2019-10-07T12.21.58.969,0.685,0.290,-0.137,-0.137
1570465318990,2019-10-07T12.21.58.990,0.706,-0.076,0.381,-0.076
1570465319009,2019-10-07T12.21.59.009,0.725,-0.305,-0.046,-0.122
1570465319029,2019-10-07T12.21.59.029,0.745,-0.198,-0.534,-0.091
1570465319050,2019-10-07T12.21.59.050,0.766,-0.137,0.061,-0.030
1570465319070,2019-10-07T12.21.59.070,0.786,-0.183,0.762,0.091
1570465319091,2019-10-07T12.21.59.091,0.807,-0.381,0.793,0.076
1570465319110,2019-10-07T12.21.59.110,0.826,-0.549,0.534,-0.046
1570465319130,2019-10-07T12.21.59.130,0.846,-0.503,0.442,-0.122
1570465319151,2019-10-07T12.21.59.151,0.867,-0.229,0.564,-0.061
1570465319171,2019-10-07T12.21.59.171,0.887,0.015,0.076,-0.137
1570465319190,2019-10-07T12.21.59.190,0.906,0.168,-0.579,-0.213
1570465319211,2019-10-07T12.21.59.211,0.927,0.244,-0.396,-0.320
1570465319231,2019-10-07T12.21.59.231,0.947,0.244,-0.290,-0.320
1570465319252,2019-10-07T12.21.59.252,0.968,0.122,-0.061,-0.305
1570465319271,2019-10-07T12.21.59.271,0.987,0.107,0.335,-0.351
1570465319291,2019-10-07T12.21.59.291,1.007,0.244,-0.229,-0.427
1570465319312,2019-10-07T12.21.59.312,1.028,0.351,-0.579,-0.488
1570465319333,2019-10-07T12.21.59.333,1.049,0.412,-0.091,-0.488
1570465319353,2019-10-07T12.21.59.353,1.069,0.366,0.244,-0.427
1570465319372,2019-10-07T12.21.59.372,1.088,0.427,-0.152,-0.503
1570465319393,2019-10-07T12.21.59.393,1.109,0.518,-0.320,-0.518
1570465319413,2019-10-07T12.21.59.413,1.129,0.640,-0.046,-0.534
1570465319434,2019-10-07T12.21.59.434,1.150,0.427,-0.122,-0.488
1570465319453,2019-10-07T12.21.59.453,1.169,0.335,-0.549,-0.534
1570465319473,2019-10-07T12.21.59.473,1.189,0.366,-0.823,-0.595
1570465319494,2019-10-07T12.21.59.494,1.210,0.396,-0.899,-0.625
1570465319514,2019-10-07T12.21.59.514,1.230,0.396,-0.564,-0.473
1570465319533,2019-10-07T12.21.59.533,1.249,0.305,0.244,-0.503
1570465319554,2019-10-07T12.21.59.554,1.270,0.198,-0.259,-0.579
1570465319574,2019-10-07T12.21.59.574,1.290,0.137,-0.046,-0.518
1570465319595,2019-10-07T12.21.59.595,1.311,0.137,0.655,-0.442
1570465319615,2019-10-07T12.21.59.615,1.331,0.351,1.067,-0.503
1570465319634,2019-10-07T12.21.59.634,1.350,0.854,-0.366,-0.854
1570465319655,2019-10-07T12.21.59.655,1.371,1.189,-1.113,-0.976
1570465319675,2019-10-07T12.21.59.675,1.391,1.159,0.640,-0.915
1570465319696,2019-10-07T12.21.59.696,1.412,1.250,1.890,-0.930
1570465319715,2019-10-07T12.21.59.715,1.431,1.402,1.433,-1.311
1570465319735,2019-10-07T12.21.59.735,1.451,1.631,-1.707,-2.012
1570465319756,2019-10-07T12.21.59.756,1.472,1.799,-3.689,-2.287
1570465319776,2019-10-07T12.21.59.776,1.492,1.738,-2.668,-2.180
1570465319795,2019-10-07T12.21.59.795,1.511,1.601,-1.235,-1.905
1570465319816,2019-10-07T12.21.59.816,1.532,1.235,0.625,-1.524
1570465319836,2019-10-07T12.21.59.836,1.552,0.655,3.582,-1.128
1570465319857,2019-10-07T12.21.59.857,1.573,0.122,1.860,-1.280
1570465319877,2019-10-07T12.21.59.877,1.593,-0.229,-0.732,-1.265
1570465319896,2019-10-07T12.21.59.896,1.612,-0.625,0.473,-0.854
1570465319917,2019-10-07T12.21.59.917,1.633,-0.854,3.247,-0.518
1570465319937,2019-10-07T12.21.59.937,1.653,-0.777,2.546,-0.473
1570465319958,2019-10-07T12.21.59.958,1.674,-0.671,1.479,-0.137
1570465319977,2019-10-07T12.21.59.977,1.693,-0.747,2.226,-0.076
1570465319998,2019-10-07T12.21.59.998,1.714,-0.655,1.601,-0.122
1570465320018,2019-10-07T12.22.00.018,1.734,-0.381,0.305,-0.168
1570465320039,2019-10-07T12.22.00.039,1.755,-0.183,-0.823,-0.091
1570465320058,2019-10-07T12.22.00.058,1.774,-0.259,0.168,0.274
