epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1570470681875,2019-10-07T13.51.21.875,0.000,-1.357,0.655,-1.707
1570470681895,2019-10-07T13.51.21.895,0.020,-1.387,0.976,-2.012
1570470681915,2019-10-07T13.51.21.915,0.040,-1.448,1.921,-1.311
1570470681935,2019-10-07T13.51.21.935,0.060,-1.585,2.424,-1.067
1570470681955,2019-10-07T13.51.21.955,0.080,-2.119,2.744,-0.915
1570470681975,2019-10-07T13.51.21.975,0.100,-2.348,3.780,-0.716
1570470681995,2019-10-07T13.51.21.995,0.120,-2.363,4.619,-0.625
1570470682015,2019-10-07T13.51.22.015,0.140,-2.439,4.604,-0.427
1570470682035,2019-10-07T13.51.22.035,0.160,-2.210,4.680,-0.259
1570470682055,2019-10-07T13.51.22.055,0.180,-2.012,4.680,-0.290
1570470682075,2019-10-07T13.51.22.075,0.200,-2.104,4.345,-0.229
1570470682095,2019-10-07T13.51.22.095,0.220,-2.348,5.122,-0.061
1570470682115,2019-10-07T13.51.22.115,0.240,-2.759,5.945,-0.030
1570470682135,2019-10-07T13.51.22.135,0.260,-2.409,5.290,-0.198
1570470682155,2019-10-07T13.51.22.155,0.280,-1.951,3.841,-0.503
1570470682175,2019-10-07T13.51.22.175,0.300,-1.784,2.012,-0.960
1570470682195,2019-10-07T13.51.22.195,0.320,-1.463,0.320,-1.494
1570470682215,2019-10-07T13.51.22.215,0.340,-1.250,-0.030,-1.631
1570470682235,2019-10-07T13.51.22.235,0.360,-1.265,0.808,-1.509
1570470682255,2019-10-07T13.51.22.255,0.380,-1.341,2.027,-1.220
1570470682275,2019-10-07T13.51.22.275,0.400,-1.448,2.561,-1.052
1570470682295,2019-10-07T13.51.22.295,0.420,-1.250,2.622,-1.128
1570470682315,2019-10-07T13.51.22.315,0.440,-1.021,2.561,-1.159
1570470682335,2019-10-07T13.51.22.335,0.460,-0.945,2.317,-1.006
1570470682355,2019-10-07T13.51.22.355,0.480,-1.052,2.363,-0.793
1570470682375,2019-10-07T13.51.22.375,0.500,-1.189,3.293,-0.473
1570470682395,2019-10-07T13.51.22.395,0.520,-1.143,3.963,-0.625
1570470682415,2019-10-07T13.51.22.415,0.540,-1.067,1.845,-1.128
1570470682435,2019-10-07T13.51.22.435,0.560,-0.976,-1.296,-1.052
1570470682455,2019-10-07T13.51.22.455,0.580,-1.082,-0.610,-0.793
1570470682475,2019-10-07T13.51.22.475,0.600,-1.220,2.424,-0.747
1570470682495,2019-10-07T13.51.22.495,0.620,-0.991,1.875,-1.037
1570470682515,2019-10-07T13.51.22.515,0.640,-1.006,0.076,-1.082
1570470682535,2019-10-07T13.51.22.535,0.660,-1.128,0.747,-0.960
1570470682555,2019-10-07T13.51.22.555,0.680,-0.899,1.631,-0.976
1570470682575,2019-10-07T13.51.22.575,0.700,-0.686,1.311,-1.021
1570470682595,2019-10-07T13.51.22.595,0.720,-0.640,0.442,-1.052
1570470682615,2019-10-07T13.51.22.615,0.740,-0.701,-0.076,-1.052
1570470682635,2019-10-07T13.51.22.635,0.760,-0.732,-0.274,-1.037
1570470682655,2019-10-07T13.51.22.655,0.780,-0.640,-0.518,-0.960
1570470682675,2019-10-07T13.51.22.675,0.800,-0.518,0.122,-0.960
1570470682695,2019-10-07T13.51.22.695,0.820,-0.229,0.518,-0.823
1570470682715,2019-10-07T13.51.22.715,0.840,0.122,1.220,-0.442
1570470682735,2019-10-07T13.51.22.735,0.860,0.274,2.393,-0.396
1570470682755,2019-10-07T13.51.22.755,0.880,0.000,1.433,-0.488
1570470682775,2019-10-07T13.51.22.775,0.900,-0.396,0.625,-0.655
1570470682795,2019-10-07T13.51.22.795,0.920,-0.351,0.549,-0.686
1570470682815,2019-10-07T13.51.22.815,0.940,-0.046,-0.076,-0.747
1570470682835,2019-10-07T13.51.22.835,0.960,0.320,-0.808,-0.808
1570470682855,2019-10-07T13.51.22.855,0.980,0.412,0.061,-0.549
1570470682875,2019-10-07T13.51.22.875,1.000,0.274,1.143,-0.366
1570470682895,2019-10-07T13.51.22.895,1.020,0.076,0.930,-0.442
1570470682915,2019-10-07T13.51.22.915,1.040,-0.030,0.335,-0.549
1570470682935,2019-10-07T13.51.22.935,1.060,-0.137,0.290,-0.549
1570470682955,2019-10-07T13.51.22.955,1.080,0.000,0.579,-0.427
1570470682975,2019-10-07T13.51.22.975,1.100,0.076,0.030,-0.320
1570470682995,2019-10-07T13.51.22.995,1.120,0.076,0.335,-0.259
1570470683015,2019-10-07T13.51.23.015,1.140,0.137,1.540,-0.152
1570470683035,2019-10-07T13.51.23.035,1.160,0.091,1.570,-0.137
1570470683055,2019-10-07T13.51.23.055,1.180,0.076,0.884,-0.183
1570470683075,2019-10-07T13.51.23.075,1.200,-0.061,1.021,-0.030
1570470683095,2019-10-07T13.51.23.095,1.220,-0.320,1.570,0.152
1570470683115,2019-10-07T13.51.23.115,1.240,-0.473,1.357,0.107
1570470683135,2019-10-07T13.51.23.135,1.260,-0.762,0.640,0.076
1570470683155,2019-10-07T13.51.23.155,1.280,-0.625,0.976,0.183
1570470683175,2019-10-07T13.51.23.175,1.300,-0.366,1.723,0.412
1570470683195,2019-10-07T13.51.23.195,1.320,-0.335,1.220,0.518
1570470683215,2019-10-07T13.51.23.215,1.340,-0.137,0.351,0.396
1570470683235,2019-10-07T13.51.23.235,1.360,0.152,-0.534,0.335
1570470683255,2019-10-07T13.51.23.255,1.380,0.305,-0.808,0.351
