epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1570465364433,2019-10-07T12.22.44.433,0.000,-0.579,-0.488,-0.777
1570465364452,2019-10-07T12.22.44.452,0.019,-0.412,-0.930,0.381
1570465364473,2019-10-07T12.22.44.473,0.040,-0.137,0.046,0.000
1570465364493,2019-10-07T12.22.44.493,0.060,-0.030,0.137,-0.198
1570465364514,2019-10-07T12.22.44.514,0.081,0.061,-1.128,-0.366
1570465364534,2019-10-07T12.22.44.534,0.101,0.030,-2.104,-0.427
1570465364553,2019-10-07T12.22.44.553,0.120,-0.244,-1.098,-0.229
1570465364574,2019-10-07T12.22.44.574,0.141,-0.625,1.052,0.030
1570465364594,2019-10-07T12.22.44.594,0.161,-0.534,0.107,-0.091
1570465364615,2019-10-07T12.22.44.615,0.182,-0.183,-2.866,-0.503
1570465364634,2019-10-07T12.22.44.634,0.201,-0.030,-3.720,-0.686
1570465364654,2019-10-07T12.22.44.654,0.221,-0.198,-2.759,-0.579
1570465364675,2019-10-07T12.22.44.675,0.242,-0.442,-1.921,-0.488
1570465364695,2019-10-07T12.22.44.695,0.262,-0.701,-1.646,-0.427
1570465364714,2019-10-07T12.22.44.714,0.281,-0.793,-0.640,-0.274
1570465364735,2019-10-07T12.22.44.735,0.302,-0.442,0.412,-0.183
1570465364755,2019-10-07T12.22.44.755,0.322,0.061,0.518,-0.137
1570465364776,2019-10-07T12.22.44.776,0.343,0.473,0.899,-0.244
1570465364796,2019-10-07T12.22.44.796,0.363,0.701,0.152,-0.366
1570465364816,2019-10-07T12.22.44.816,0.383,0.640,-0.655,-0.381
1570465364836,2019-10-07T12.22.44.836,0.403,0.457,0.076,-0.274
1570465364857,2019-10-07T12.22.44.857,0.424,0.152,1.387,-0.107
1570465364877,2019-10-07T12.22.44.877,0.444,0.076,1.006,-0.107
1570465364896,2019-10-07T12.22.44.896,0.463,0.137,-0.640,-0.381
1570465364917,2019-10-07T12.22.44.917,0.484,0.320,-1.174,-0.351
1570465364937,2019-10-07T12.22.44.937,0.504,0.259,0.183,-0.183
1570465364958,2019-10-07T12.22.44.958,0.525,0.168,0.534,-0.152
1570465364977,2019-10-07T12.22.44.977,0.544,-0.061,0.198,-0.259
1570465364997,2019-10-07T12.22.44.997,0.564,-0.213,0.366,-0.274
1570465365018,2019-10-07T12.22.45.018,0.585,-0.259,-0.305,-0.305
1570465365038,2019-10-07T12.22.45.038,0.605,-0.122,-1.082,-0.290
1570465365059,2019-10-07T12.22.45.059,0.626,0.152,-0.838,-0.351
1570465365078,2019-10-07T12.22.45.078,0.645,0.381,-0.808,-0.351
1570465365098,2019-10-07T12.22.45.098,0.665,0.290,-0.335,-0.305
1570465365119,2019-10-07T12.22.45.119,0.686,0.168,0.320,-0.274
1570465365139,2019-10-07T12.22.45.139,0.706,0.137,0.000,-0.290
1570465365158,2019-10-07T12.22.45.158,0.725,0.213,-0.488,-0.274
1570465365179,2019-10-07T12.22.45.179,0.746,0.335,-0.899,-0.259
1570465365199,2019-10-07T12.22.45.199,0.766,0.335,-0.854,-0.229
1570465365220,2019-10-07T12.22.45.220,0.787,0.137,-0.579,-0.259
1570465365239,2019-10-07T12.22.45.239,0.806,0.137,-0.655,-0.244
1570465365259,2019-10-07T12.22.45.259,0.826,0.091,0.259,-0.107
1570465365280,2019-10-07T12.22.45.280,0.847,0.381,0.335,-0.076
1570465365300,2019-10-07T12.22.45.300,0.867,0.610,-0.412,-0.168
1570465365321,2019-10-07T12.22.45.321,0.888,0.777,-1.159,-0.259
1570465365340,2019-10-07T12.22.45.340,0.907,0.777,-1.037,-0.290
1570465365360,2019-10-07T12.22.45.360,0.927,0.412,0.046,-0.076
1570465365381,2019-10-07T12.22.45.381,0.948,0.137,0.671,-0.137
1570465365401,2019-10-07T12.22.45.401,0.968,0.091,-0.259,-0.259
1570465365421,2019-10-07T12.22.45.421,0.988,0.137,-1.006,-0.229
1570465365441,2019-10-07T12.22.45.441,1.008,0.229,-0.351,-0.168
1570465365462,2019-10-07T12.22.45.462,1.029,0.351,0.488,-0.046
1570465365482,2019-10-07T12.22.45.482,1.049,0.396,-0.244,-0.183
