epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1570459779970,2019-10-07T10.49.39.970,0.000,0.091,-0.412,-0.229
1570459779989,2019-10-07T10.49.39.989,0.019,0.381,-0.274,-0.442
1570459780010,2019-10-07T10.49.40.010,0.040,0.412,-0.244,-0.122
1570459780029,2019-10-07T10.49.40.029,0.059,0.137,-0.015,-0.061
1570459780049,2019-10-07T10.49.40.049,0.079,-0.030,0.015,-0.030
1570459780069,2019-10-07T10.49.40.069,0.099,-0.122,-0.351,-0.046
1570459780089,2019-10-07T10.49.40.089,0.119,-0.137,-0.762,-0.107
1570459780108,2019-10-07T10.49.40.108,0.138,-0.107,-0.671,-0.137
1570459780129,2019-10-07T10.49.40.129,0.159,0.107,-1.037,-0.213
1570459780148,2019-10-07T10.49.40.148,0.178,0.213,-1.098,-0.091
1570459780168,2019-10-07T10.49.40.168,0.198,0.290,-0.107,-0.076
1570459780187,2019-10-07T10.49.40.187,0.217,0.381,0.351,-0.061
1570459780208,2019-10-07T10.49.40.208,0.238,0.381,0.488,-0.152
1570459780227,2019-10-07T10.49.40.227,0.257,0.351,0.442,-0.259
1570459780247,2019-10-07T10.49.40.247,0.277,0.198,0.290,-0.351
1570459780266,2019-10-07T10.49.40.266,0.296,0.137,0.000,-0.518
1570459780287,2019-10-07T10.49.40.287,0.317,0.137,-0.351,-0.610
1570459780306,2019-10-07T10.49.40.306,0.336,0.046,-0.351,-0.534
1570459780326,2019-10-07T10.49.40.326,0.356,0.015,0.107,-0.549
1570459780345,2019-10-07T10.49.40.345,0.375,0.137,0.244,-0.610
1570459780364,2019-10-07T10.49.40.364,0.394,0.244,0.061,-0.625
1570459780385,2019-10-07T10.49.40.385,0.415,0.457,0.107,-0.686
1570459780404,2019-10-07T10.49.40.404,0.434,0.610,-0.046,-0.762
1570459780424,2019-10-07T10.49.40.424,0.454,0.610,0.290,-0.640
1570459780444,2019-10-07T10.49.40.444,0.474,0.473,0.869,-0.503
1570459780464,2019-10-07T10.49.40.464,0.494,0.320,0.518,-0.640
1570459780483,2019-10-07T10.49.40.483,0.513,0.152,-0.503,-0.686
1570459780504,2019-10-07T10.49.40.504,0.534,0.229,-1.128,-0.610
1570459780523,2019-10-07T10.49.40.523,0.553,0.259,-1.402,-0.518
1570459780543,2019-10-07T10.49.40.543,0.573,0.107,-0.351,-0.351
1570459780562,2019-10-07T10.49.40.562,0.592,0.061,1.220,-0.137
1570459780583,2019-10-07T10.49.40.583,0.613,0.015,1.768,0.015
1570459780602,2019-10-07T10.49.40.602,0.632,-0.122,1.936,0.152
1570459780622,2019-10-07T10.49.40.622,0.652,-0.229,2.195,0.229
1570459780641,2019-10-07T10.49.40.641,0.671,-0.152,1.890,0.183
1570459780662,2019-10-07T10.49.40.662,0.692,-0.198,1.433,0.091
1570459780681,2019-10-07T10.49.40.681,0.711,0.000,1.189,0.046
1570459780701,2019-10-07T10.49.40.701,0.731,0.046,0.762,-0.046
1570459780720,2019-10-07T10.49.40.720,0.750,0.061,0.518,-0.152
1570459780741,2019-10-07T10.49.40.741,0.771,0.198,0.305,-0.168
1570459780760,2019-10-07T10.49.40.760,0.790,0.274,0.229,-0.213
1570459780780,2019-10-07T10.49.40.780,0.810,0.320,0.046,-0.305
1570459780799,2019-10-07T10.49.40.799,0.829,0.259,-0.381,-0.290
1570459780820,2019-10-07T10.49.40.820,0.850,0.290,-0.427,-0.274
1570459780839,2019-10-07T10.49.40.839,0.869,0.320,-0.183,-0.244
1570459780860,2019-10-07T10.49.40.860,0.890,0.320,0.046,-0.198
1570459780879,2019-10-07T10.49.40.879,0.909,0.229,0.534,0.030
1570459780899,2019-10-07T10.49.40.899,0.929,0.290,1.037,0.168
1570459780918,2019-10-07T10.49.40.918,0.948,0.412,0.640,0.091
1570459780939,2019-10-07T10.49.40.939,0.969,0.457,0.061,0.015
1570459780958,2019-10-07T10.49.40.958,0.988,0.579,-0.061,0.061
1570459780978,2019-10-07T10.49.40.978,1.008,0.716,0.534,0.213
1570459780997,2019-10-07T10.49.40.997,1.027,0.701,0.945,0.274
1570459781018,2019-10-07T10.49.41.018,1.048,0.701,0.747,0.259
1570459781037,2019-10-07T10.49.41.037,1.067,0.732,0.290,0.152
1570459781056,2019-10-07T10.49.41.056,1.086,0.762,0.198,0.244
1570459781076,2019-10-07T10.49.41.076,1.106,0.930,0.183,0.198
1570459781095,2019-10-07T10.49.41.095,1.125,0.976,0.183,0.198
