epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1570465401644,2019-10-07T12.23.21.644,0.000,0.000,-0.244,0.229
1570465401665,2019-10-07T12.23.21.665,0.021,0.244,-0.015,-0.015
1570465401685,2019-10-07T12.23.21.685,0.041,0.290,-0.290,0.061
1570465401706,2019-10-07T12.23.21.706,0.062,0.213,-0.549,0.091
1570465401726,2019-10-07T12.23.21.726,0.082,0.259,-0.396,0.107
1570465401745,2019-10-07T12.23.21.745,0.101,0.366,-0.457,0.122
1570465401766,2019-10-07T12.23.21.766,0.122,0.534,-0.716,0.046
1570465401786,2019-10-07T12.23.21.786,0.142,0.655,-0.579,0.091
1570465401807,2019-10-07T12.23.21.807,0.163,0.610,-0.183,0.091
1570465401826,2019-10-07T12.23.21.826,0.182,0.610,-0.122,0.091
1570465401846,2019-10-07T12.23.21.846,0.202,0.427,-0.518,0.061
1570465401867,2019-10-07T12.23.21.867,0.223,0.137,-0.488,0.091
1570465401887,2019-10-07T12.23.21.887,0.243,0.015,-0.625,0.076
1570465401907,2019-10-07T12.23.21.907,0.263,-0.030,-0.899,-0.015
1570465401927,2019-10-07T12.23.21.927,0.283,-0.107,-0.808,0.030
1570465401948,2019-10-07T12.23.21.948,0.304,-0.030,-0.305,0.137
1570465401968,2019-10-07T12.23.21.968,0.324,0.076,0.137,0.168
1570465401989,2019-10-07T12.23.21.989,0.345,0.229,-0.351,0.198
1570465402008,2019-10-07T12.23.22.008,0.364,0.168,-0.610,0.244
1570465402028,2019-10-07T12.23.22.028,0.384,-0.030,-0.473,0.259
1570465402049,2019-10-07T12.23.22.049,0.405,-0.152,-0.274,0.198
1570465402069,2019-10-07T12.23.22.069,0.425,-0.229,-0.427,0.213
1570465402088,2019-10-07T12.23.22.088,0.444,-0.122,-0.564,0.320
1570465402109,2019-10-07T12.23.22.109,0.465,0.091,-0.625,0.274
1570465402129,2019-10-07T12.23.22.129,0.485,0.305,-0.945,0.168
1570465402150,2019-10-07T12.23.22.150,0.506,0.320,-0.671,0.198
1570465402169,2019-10-07T12.23.22.169,0.525,0.442,-0.229,0.290
1570465402189,2019-10-07T12.23.22.189,0.545,0.488,-0.030,0.335
1570465402210,2019-10-07T12.23.22.210,0.566,0.503,-0.076,0.244
1570465402230,2019-10-07T12.23.22.230,0.586,0.655,-0.366,0.168
1570465402251,2019-10-07T12.23.22.251,0.607,0.823,-0.457,0.152
1570465402270,2019-10-07T12.23.22.270,0.626,1.006,-0.579,0.091
1570465402290,2019-10-07T12.23.22.290,0.646,1.189,-0.655,0.046
1570465402311,2019-10-07T12.23.22.311,0.667,1.128,-0.564,0.030
1570465402331,2019-10-07T12.23.22.331,0.687,0.930,-0.534,-0.046
1570465402350,2019-10-07T12.23.22.350,0.706,0.732,-0.701,-0.168
1570465402371,2019-10-07T12.23.22.371,0.727,0.549,-0.747,-0.259
1570465402391,2019-10-07T12.23.22.391,0.747,0.534,-0.869,-0.229
1570465402412,2019-10-07T12.23.22.412,0.768,0.564,-1.082,-0.274
1570465402431,2019-10-07T12.23.22.431,0.787,0.564,-1.143,-0.274
1570465402451,2019-10-07T12.23.22.451,0.807,0.488,-1.067,-0.320
1570465402472,2019-10-07T12.23.22.472,0.828,0.457,-0.823,-0.213
1570465402492,2019-10-07T12.23.22.492,0.848,0.457,-0.396,-0.229
1570465402513,2019-10-07T12.23.22.513,0.869,0.457,-0.640,-0.213
1570465402532,2019-10-07T12.23.22.532,0.888,0.427,-0.473,-0.122
1570465402553,2019-10-07T12.23.22.553,0.909,0.290,-0.335,-0.091
1570465402573,2019-10-07T12.23.22.573,0.929,0.168,-0.427,-0.107
1570465402594,2019-10-07T12.23.22.594,0.950,0.183,-0.625,-0.122
1570465402613,2019-10-07T12.23.22.613,0.969,0.091,-1.082,-0.183
1570465402633,2019-10-07T12.23.22.633,0.989,0.076,-1.098,-0.091
1570465402654,2019-10-07T12.23.22.654,1.010,0.091,-1.204,-0.046
1570465402674,2019-10-07T12.23.22.674,1.030,0.015,-1.067,0.046
1570465402693,2019-10-07T12.23.22.693,1.049,-0.091,-0.625,0.061
1570465402714,2019-10-07T12.23.22.714,1.070,-0.076,-0.457,0.030
1570465402734,2019-10-07T12.23.22.734,1.090,-0.061,-0.747,0.046
1570465402755,2019-10-07T12.23.22.755,1.111,0.076,-0.808,0.107
1570465402775,2019-10-07T12.23.22.775,1.131,0.107,-0.488,0.030
1570465402794,2019-10-07T12.23.22.794,1.150,0.183,-0.229,0.076
1570465402815,2019-10-07T12.23.22.815,1.171,0.183,0.076,0.137
1570465402835,2019-10-07T12.23.22.835,1.191,0.122,0.396,0.244
1570465402856,2019-10-07T12.23.22.856,1.212,0.091,0.244,0.168
1570465402875,2019-10-07T12.23.22.875,1.231,0.076,-0.076,0.122
1570465402895,2019-10-07T12.23.22.895,1.251,0.168,-0.168,0.030
1570465402916,2019-10-07T12.23.22.916,1.272,0.213,-0.183,-0.076
1570465402936,2019-10-07T12.23.22.936,1.292,0.274,-0.015,-0.061
1570465402955,2019-10-07T12.23.22.955,1.311,0.305,0.015,-0.107
1570465402976,2019-10-07T12.23.22.976,1.332,0.351,-0.137,-0.183
1570465402996,2019-10-07T12.23.22.996,1.352,0.351,-0.229,-0.244
1570465403017,2019-10-07T12.23.23.017,1.373,0.351,-0.396,-0.229
1570465403037,2019-10-07T12.23.23.037,1.393,0.351,-0.503,-0.198
1570465403056,2019-10-07T12.23.23.056,1.412,0.305,-0.335,-0.183
1570465403077,2019-10-07T12.23.23.077,1.433,0.366,-0.442,-0.198
1570465403097,2019-10-07T12.23.23.097,1.453,0.366,-0.640,-0.229
1570465403118,2019-10-07T12.23.23.118,1.474,0.366,-0.488,-0.259
1570465403137,2019-10-07T12.23.23.137,1.493,0.213,-0.412,-0.213
1570465403158,2019-10-07T12.23.23.158,1.514,0.183,-0.335,-0.213
1570465403178,2019-10-07T12.23.23.178,1.534,0.213,0.030,-0.107
1570465403199,2019-10-07T12.23.23.199,1.555,0.320,0.152,-0.107
1570465403218,2019-10-07T12.23.23.218,1.574,0.305,-0.122,-0.152
1570465403238,2019-10-07T12.23.23.238,1.594,0.183,-0.351,-0.137
1570465403259,2019-10-07T12.23.23.259,1.615,0.030,-0.152,-0.122
1570465403279,2019-10-07T12.23.23.279,1.635,0.122,-0.198,-0.168
1570465403300,2019-10-07T12.23.23.300,1.656,0.122,-0.366,-0.152
1570465403319,2019-10-07T12.23.23.319,1.675,0.091,-0.061,0.030
1570465403339,2019-10-07T12.23.23.339,1.695,0.091,0.305,0.061
1570465403360,2019-10-07T12.23.23.360,1.716,0.076,-0.015,0.000
1570465403380,2019-10-07T12.23.23.380,1.736,-0.015,-0.274,-0.061
1570465403399,2019-10-07T12.23.23.399,1.755,0.076,-0.259,-0.107
1570465403420,2019-10-07T12.23.23.420,1.776,0.107,-0.351,-0.046
1570465403440,2019-10-07T12.23.23.440,1.796,0.061,-0.061,-0.015
1570465403461,2019-10-07T12.23.23.461,1.817,-0.046,0.076,0.030
1570465403480,2019-10-07T12.23.23.480,1.836,0.030,0.015,0.030
1570465403500,2019-10-07T12.23.23.500,1.856,-0.030,-0.290,-0.030
1570465403521,2019-10-07T12.23.23.521,1.877,-0.046,-0.488,-0.030
1570465403541,2019-10-07T12.23.23.541,1.897,-0.091,-0.274,-0.137
1570465403562,2019-10-07T12.23.23.562,1.918,-0.168,-0.396,-0.229
1570465403581,2019-10-07T12.23.23.581,1.937,-0.107,-0.640,-0.168
1570465403601,2019-10-07T12.23.23.601,1.957,-0.213,-0.305,-0.030
1570465403622,2019-10-07T12.23.23.622,1.978,-0.259,0.000,-0.046
1570465403642,2019-10-07T12.23.23.642,1.998,-0.305,0.152,-0.091
1570465403661,2019-10-07T12.23.23.661,2.017,-0.305,-0.335,-0.198
1570465403682,2019-10-07T12.23.23.682,2.038,-0.244,-0.610,-0.320
1570465403702,2019-10-07T12.23.23.702,2.058,-0.137,-0.732,-0.503
1570465403723,2019-10-07T12.23.23.723,2.079,-0.122,-1.174,-0.625
1570465403742,2019-10-07T12.23.23.742,2.098,-0.137,-1.143,-0.671
1570465403762,2019-10-07T12.23.23.762,2.118,-0.213,-0.274,-0.671
1570465403783,2019-10-07T12.23.23.783,2.139,-0.320,-0.915,-0.823
1570465403804,2019-10-07T12.23.23.804,2.160,-0.381,-1.098,-0.915
1570465403824,2019-10-07T12.23.23.824,2.180,-0.457,-0.625,-0.823
1570465403843,2019-10-07T12.23.23.843,2.199,-0.290,-0.762,-0.884
1570465403864,2019-10-07T12.23.23.864,2.220,-0.076,-0.945,-0.899
1570465403884,2019-10-07T12.23.23.884,2.240,0.244,-0.899,-0.915
1570465403905,2019-10-07T12.23.23.905,2.261,0.610,-0.869,-0.945
1570465403924,2019-10-07T12.23.23.924,2.280,0.777,-1.341,-0.854
1570465403944,2019-10-07T12.23.23.944,2.300,0.777,-1.037,-0.747
1570465403965,2019-10-07T12.23.23.965,2.321,0.686,-0.427,-0.777
1570465403985,2019-10-07T12.23.23.985,2.341,0.640,-0.168,-0.747
1570465404004,2019-10-07T12.23.24.004,2.360,0.427,-0.122,-0.640
1570465404025,2019-10-07T12.23.24.025,2.381,0.259,-0.061,-0.488
1570465404045,2019-10-07T12.23.24.045,2.401,0.122,0.168,-0.442
1570465404066,2019-10-07T12.23.24.066,2.422,-0.046,0.396,-0.427
1570465404086,2019-10-07T12.23.24.086,2.442,-0.046,0.686,-0.473
1570465404105,2019-10-07T12.23.24.105,2.461,0.076,0.488,-0.518
1570465404126,2019-10-07T12.23.24.126,2.482,0.198,0.655,-0.473
1570465404146,2019-10-07T12.23.24.146,2.502,0.274,1.052,-0.396
1570465404167,2019-10-07T12.23.24.167,2.523,0.213,0.976,-0.335
1570465404186,2019-10-07T12.23.24.186,2.542,0.168,0.869,-0.320
1570465404206,2019-10-07T12.23.24.206,2.562,0.046,0.777,-0.381
1570465404227,2019-10-07T12.23.24.227,2.583,0.168,0.396,-0.442
1570465404247,2019-10-07T12.23.24.247,2.603,0.259,0.305,-0.381
1570465404266,2019-10-07T12.23.24.266,2.622,0.198,0.854,-0.305
1570465404287,2019-10-07T12.23.24.287,2.643,0.381,0.884,-0.366
1570465404307,2019-10-07T12.23.24.307,2.663,0.610,0.381,-0.549
1570465404328,2019-10-07T12.23.24.328,2.684,0.777,0.183,-0.549
1570465404348,2019-10-07T12.23.24.348,2.704,0.808,0.320,-0.473
1570465404367,2019-10-07T12.23.24.367,2.723,0.732,0.564,-0.488
1570465404388,2019-10-07T12.23.24.388,2.744,0.610,0.595,-0.564
1570465404408,2019-10-07T12.23.24.408,2.764,0.351,0.549,-0.610
1570465404429,2019-10-07T12.23.24.429,2.785,0.259,0.259,-0.595
1570465404448,2019-10-07T12.23.24.448,2.804,0.244,0.305,-0.595
1570465404469,2019-10-07T12.23.24.469,2.825,0.396,-0.046,-0.686
1570465404489,2019-10-07T12.23.24.489,2.845,0.671,-0.655,-0.671
1570465404510,2019-10-07T12.23.24.510,2.866,0.838,-0.427,-0.701
1570465404529,2019-10-07T12.23.24.529,2.885,0.930,0.030,-0.716
1570465404549,2019-10-07T12.23.24.549,2.905,1.006,0.229,-0.640
1570465404570,2019-10-07T12.23.24.570,2.926,0.945,0.290,-0.625
1570465404590,2019-10-07T12.23.24.590,2.946,0.823,-0.076,-0.655
1570465404611,2019-10-07T12.23.24.611,2.967,0.534,-0.061,-0.579
1570465404630,2019-10-07T12.23.24.630,2.986,0.290,0.244,-0.579
1570465404650,2019-10-07T12.23.24.650,3.006,0.061,0.107,-0.595
1570465404671,2019-10-07T12.23.24.671,3.027,-0.061,-0.137,-0.610
1570465404691,2019-10-07T12.23.24.691,3.047,-0.061,-0.107,-0.579
1570465404710,2019-10-07T12.23.24.710,3.066,-0.091,0.259,-0.518
1570465404731,2019-10-07T12.23.24.731,3.087,0.030,0.427,-0.473
1570465404751,2019-10-07T12.23.24.751,3.107,0.122,0.305,-0.412
1570465404772,2019-10-07T12.23.24.772,3.128,0.320,-0.046,-0.396
1570465404791,2019-10-07T12.23.24.791,3.147,0.473,-0.061,-0.351
1570465404811,2019-10-07T12.23.24.811,3.167,0.549,0.305,-0.335
1570465404832,2019-10-07T12.23.24.832,3.188,0.549,0.137,-0.320
1570465404852,2019-10-07T12.23.24.852,3.208,0.488,-0.122,-0.335
1570465404873,2019-10-07T12.23.24.873,3.229,0.442,0.091,-0.366
1570465404892,2019-10-07T12.23.24.892,3.248,0.457,0.366,-0.335
1570465404912,2019-10-07T12.23.24.912,3.268,0.427,0.168,-0.335
1570465404933,2019-10-07T12.23.24.933,3.289,0.503,0.335,-0.351
1570465404953,2019-10-07T12.23.24.953,3.309,0.534,0.564,-0.335
1570465404972,2019-10-07T12.23.24.972,3.328,0.579,0.244,-0.396
1570465404993,2019-10-07T12.23.24.993,3.349,0.762,-0.046,-0.488
1570465405013,2019-10-07T12.23.25.013,3.369,0.747,-0.122,-0.549
1570465405034,2019-10-07T12.23.25.034,3.390,0.869,-0.015,-0.549
1570465405054,2019-10-07T12.23.25.054,3.410,0.930,0.122,-0.473
1570465405074,2019-10-07T12.23.25.074,3.430,0.884,0.198,-0.457
