epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1570468841218,2019-10-07T13.20.41.218,0.000,0.427,-0.305,0.259
1570468841238,2019-10-07T13.20.41.238,0.020,0.610,0.015,0.046
1570468841259,2019-10-07T13.20.41.259,0.041,0.762,0.198,-0.290
1570468841278,2019-10-07T13.20.41.278,0.060,0.701,-0.030,-0.244
1570468841298,2019-10-07T13.20.41.298,0.080,0.640,-0.351,-0.229
1570468841319,2019-10-07T13.20.41.319,0.101,0.579,-0.335,-0.320
1570468841339,2019-10-07T13.20.41.339,0.121,0.671,-0.412,-0.412
1570468841358,2019-10-07T13.20.41.358,0.140,0.793,-0.534,-0.381
1570468841379,2019-10-07T13.20.41.379,0.161,0.823,-0.534,-0.335
1570468841399,2019-10-07T13.20.41.399,0.181,0.808,-0.442,-0.335
1570468841420,2019-10-07T13.20.41.420,0.202,0.655,-0.305,-0.351
1570468841440,2019-10-07T13.20.41.440,0.222,0.671,-0.335,-0.351
1570468841460,2019-10-07T13.20.41.460,0.242,0.442,-0.122,-0.274
1570468841480,2019-10-07T13.20.41.480,0.262,0.442,0.244,-0.152
1570468841501,2019-10-07T13.20.41.501,0.283,0.396,-0.183,-0.168
1570468841521,2019-10-07T13.20.41.521,0.303,0.229,-0.534,-0.274
1570468841540,2019-10-07T13.20.41.540,0.322,0.335,-0.412,-0.183
1570468841561,2019-10-07T13.20.41.561,0.343,0.381,0.015,-0.122
1570468841581,2019-10-07T13.20.41.581,0.363,0.503,0.198,-0.107
1570468841602,2019-10-07T13.20.41.602,0.384,0.655,-0.229,-0.061
1570468841621,2019-10-07T13.20.41.621,0.403,0.564,-0.091,0.000
1570468841641,2019-10-07T13.20.41.641,0.423,0.595,0.168,0.000
1570468841662,2019-10-07T13.20.41.662,0.444,0.503,0.381,-0.015
1570468841682,2019-10-07T13.20.41.682,0.464,0.305,0.152,-0.091
1570468841703,2019-10-07T13.20.41.703,0.485,0.168,-0.168,-0.076
1570468841722,2019-10-07T13.20.41.722,0.504,0.183,0.259,0.000
1570468841742,2019-10-07T13.20.41.742,0.524,0.305,0.183,0.000
1570468841763,2019-10-07T13.20.41.763,0.545,0.244,0.015,-0.061
1570468841783,2019-10-07T13.20.41.783,0.565,0.183,-0.122,-0.061
1570468841802,2019-10-07T13.20.41.802,0.584,0.213,-0.168,-0.122
1570468841823,2019-10-07T13.20.41.823,0.605,0.351,-0.274,-0.152
1570468841843,2019-10-07T13.20.41.843,0.625,0.427,-0.473,-0.259
1570468841864,2019-10-07T13.20.41.864,0.646,0.473,-0.335,-0.213
1570468841884,2019-10-07T13.20.41.884,0.666,0.290,-0.107,-0.213
1570468841903,2019-10-07T13.20.41.903,0.685,0.213,-0.305,-0.229
1570468841924,2019-10-07T13.20.41.924,0.706,0.229,-0.122,-0.244
1570468841944,2019-10-07T13.20.41.944,0.726,0.381,-0.381,-0.290
1570468841965,2019-10-07T13.20.41.965,0.747,0.396,-0.808,-0.320
1570468841984,2019-10-07T13.20.41.984,0.766,0.412,-0.549,-0.351
1570468842004,2019-10-07T13.20.42.004,0.786,0.549,-0.091,-0.320
1570468842025,2019-10-07T13.20.42.025,0.807,0.777,-0.320,-0.274
1570468842045,2019-10-07T13.20.42.045,0.827,0.884,-0.640,-0.229
1570468842065,2019-10-07T13.20.42.065,0.847,1.021,-0.259,-0.152
1570468842085,2019-10-07T13.20.42.085,0.867,1.021,-0.244,-0.168
1570468842106,2019-10-07T13.20.42.106,0.888,0.915,-0.518,-0.244
1570468842126,2019-10-07T13.20.42.126,0.908,0.854,-0.701,-0.229
1570468842147,2019-10-07T13.20.42.147,0.929,0.762,-0.076,-0.107
1570468842166,2019-10-07T13.20.42.166,0.948,0.579,0.534,-0.015
1570468842186,2019-10-07T13.20.42.186,0.968,0.564,0.183,-0.061
1570468842207,2019-10-07T13.20.42.207,0.989,0.473,-0.229,-0.061
1570468842227,2019-10-07T13.20.42.227,1.009,0.610,0.229,-0.076
1570468842246,2019-10-07T13.20.42.246,1.028,0.701,0.076,-0.122
1570468842267,2019-10-07T13.20.42.267,1.049,0.488,-0.198,-0.183
1570468842287,2019-10-07T13.20.42.287,1.069,0.457,0.107,-0.198
1570468842308,2019-10-07T13.20.42.308,1.090,0.366,0.030,-0.076
1570468842327,2019-10-07T13.20.42.327,1.109,0.305,-0.183,-0.076
1570468842347,2019-10-07T13.20.42.347,1.129,0.442,-0.625,-0.183
1570468842368,2019-10-07T13.20.42.368,1.150,0.488,-0.869,-0.229
1570468842388,2019-10-07T13.20.42.388,1.170,0.396,-0.915,-0.213
1570468842409,2019-10-07T13.20.42.409,1.191,0.290,-0.213,-0.091
1570468842428,2019-10-07T13.20.42.428,1.210,0.320,0.290,-0.091
1570468842448,2019-10-07T13.20.42.448,1.230,0.168,0.320,-0.091
1570468842469,2019-10-07T13.20.42.469,1.251,0.168,-0.168,-0.183
1570468842489,2019-10-07T13.20.42.489,1.271,0.290,-0.686,-0.168
1570468842508,2019-10-07T13.20.42.508,1.290,0.518,-0.518,-0.137
1570468842529,2019-10-07T13.20.42.529,1.311,0.686,-0.427,-0.168
1570468842549,2019-10-07T13.20.42.549,1.331,0.595,0.000,-0.107
1570468842570,2019-10-07T13.20.42.570,1.352,0.396,0.259,-0.091
